Team,submitterid,id,pearson_correlation,cosine,rank_pearson,rank_cosine,average_rank,Submissions name
nachman.keren,3516194,9756912,0.752053202,0.17611102,1,1,1,TASK1_test_predictions.csv
PL21,3506852,9756908,0.730260498,0.179922938,2,2,2,TASK1_test_10model_ensemble_predictions.csv
Nylix,3550368,9756933,0.727443675,0.184436825,3,3,3,Final submission for Task 1
lazy noses,3550943,9756950,0.725498803,0.18790409,4,4,4,NA
yuanfang.guan,3319559,9756924,0.719952491,0.190645971,5,5,5,NA
IM-Scent,3546192,9756914,0.717135872,0.194933429,6,6,6,NA
Jabbar,3545966,9756095,0.713463664,0.19675407,7,8,7.5,NA
SuleimanKhan,2176686,9756103,0.712790141,0.195575493,8,7,7.5,NA
Olfactory25UNIBA,3549649,9756698,0.701923898,0.198883513,9,9,9,NA
rahatshehzadi,3546201,9756102,0.694960603,0.205268509,10,10,10,NA
AyyazAzeem,3542349,9755617,0.694188164,0.208259362,12,11,11.5,NA
dskhanirfan,3410046,9755761,0.69435093,0.209254844,11,13,12,NA
lahore,3549284,9755480,0.691481749,0.208958759,14,12,13,NA
VSC25,3547318,9756957,0.692587274,0.210278652,13,14,13.5,NA
azharme,3550162,9756258,0.685558466,0.21366932,15,15,15,NA
HajiSanaullah,3546742,9756310,0.684308715,0.21424809,16,16,16,NA
GhazalaShaheen,3546745,9755702,0.657518809,0.230606927,17,17,17,NA
AmerShahzad716,3545843,9755476,0.640260981,0.248149442,18,18,18,NA
qai,3544724,9756946,0.625926287,0.253468161,19,19,19,NA
SystemsCBLab_OMP,3546766,9756929,0.618408223,0.253871994,20,20,20,NA
jgburk,3444251,9756459,0.617820093,0.255166823,21,21,21,NA
VU Bioinformatics group,3550748,9756839,0.602916242,0.271115876,22,22,22,NA
OFI,3544441,9755381,0.561040107,0.292148952,23,23,23,NA
Songxuebo,3501700,9755325,0.538023405,0.329099574,24,24,24,NA
who_nose_anymore,3549017,9756940,0.420291745,0.372056462,25,25,25,NA
Metformin-121,3449866,9756906,0.010114194,0.638489913,26,26,26,NA
