Team,id,pearson_correlation,cosine,rank_pearson,rank_cosine,average_rank,Submissions name
PL21,9756909,0.789749135,0.133585641,1,1,1,task2_test_ensemble.csv
yuanfang.guan,9756951,0.789684493,0.136841572,2,2,2,predictions_quantile_normalized_dynamicadd.csv
yuanfang.guan,9756927,0.789648682,0.137958089,3,4,3.5,predictions_quantile_normalized.add.csv
Nylix,9756934,0.785382248,0.137598294,4,3,3.5,Final submission Task 2
yuanfang.guan,9756734,0.777237809,0.145467034,5,6,5.5,NA
IM-Scent,9756916,0.775877847,0.142796451,6,5,5.5,NA
VSC25,9756959,0.766695701,0.149783434,7,7,7,NA
SystemsCBLab_OMP,9756930,0.736942734,0.167477983,9,8,8.5,NA
Metformin-121,9756910,0.743456775,0.170846673,8,11,9.5,NA
LVS2,9756958,0.73147003,0.169436445,10.5,9.5,10,NA
LVS2,9756952,0.73147003,0.169436445,10.5,9.5,10,NA
SystemsCBLab_OMP,9756938,0.722040137,0.175836335,12,12,12,NA
jgburk,9756460,0.717501206,0.178519961,14,13,13.5,NA
who_nose_anymore,9756944,0.710946373,0.18255776,15,14,14.5,NA
BBKCS2025,9756421,0.682692346,0.200899965,16,15,15.5,NA
SystemsCBLab_OMP,9756939,0.720061335,0.316387194,13,19,16,NA
VU Bioinformatics group,9756844,0.638654652,0.227822527,17,16,16.5,NA
lazy noses,9756945,0.626497968,0.229220216,18,17,17.5,NA
Songxuebo,9755326,0.622921304,0.231619404,19,18,18.5,NA
OFI,9755465,0.368671304,0.367258577,20,20,20,NA
